This .csv table is used for changing position sorting of species conveniently,,,,,,,,,
  H2  , O2    ,       O  ,H,    OH     ,  HO2,    H2O2  ,     H2O ,     AR,N2
2,1,0,0,0,0,0,0,7,0
0,0,0,0,0,0,0,0,0,1
6,3,0,0,0,0,0,0,11,0
,,,*forward_reaction,,,,,,
0,1,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0
0,0,1,0,0,1,0,0,0,0
0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,1,0,0,0
0,0,0,1,0,0,1,0,0,0
0,0,1,0,0,0,1,0,0,0
0,0,0,0,1,0,1,0,0,0
,,,*backward_reaction,,,,,,
0,0,1,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0
0,0,0,0,2,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0
0,0,0,0,2,0,0,0,0,0
0,0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0
0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,1,0,0
,,,*third_body,,,,,,
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
2.5,1,1,1,1,1,1,12,1,1
2.5,1,1,1,1,1,1,12,0.83,1
2.5,1,1,1,1,1,1,12,0.75,1
0.73,1,1,1,1,1,1,12,0.38,1
1.3,1,1,1,1,1,1,14,0.67,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
2.5,1,1,1,1,1,1,12,0.45,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
*Arrhenius,,,,,,,,,
1.91E+14,0,16440,,,,,,,
5.08E+04,2.67,6292,,,,,,,
2.16E+08,1.51,3430,,,,,,,
2.97E+06,2.02,13400,,,,,,,
4.57E+19,-1.4,105100,,,,,,,
6.17E+15,-0.5,0,,,,,,,
4.72E+18,-1,0,,,,,,,
4.50E+22,-2,0,,,,,,,
3.48E+16,-0.41,-1120,,,,,,,
1.66E+13,0,820,,,,,,,
7.08E+13,0,300,,,,,,,
3.25E+13,0,0,,,,,,,
2.89E+13,0,-500,,,,,,,
4.20E+14,0,11980,,,,,,,
1.27E+17,0,45400,,,,,,,
2.41E+13,0,3970,,,,,,,
6.03E+13,0,7950,,,,,,,
9.55E+06,2,3970,,,,,,,
1.00E+12,0,0,,,,,,,
