H2		O2		O		H		OH		HO2		H2O2	H2O		AR
2        1      0       0       0       0       0       0       7
2        1      0       0       0       0       0       0       7

10       2      1       10       2       1       1       2       1
10       2      1       10       2       1       1       2       1

3        0      0       0       0       0       0       0       1
0        1      0       0       0       0       0       0       1

10       2      1       10       2       1       1       2      1
2       1       0       0       0       0       0       0       7

O2		AR
1        0
1        0
